"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Chañaral";"Flamenco";"Huasco";"Pta.Choros";"Quintero";"Las_Cruces";"Total"
"ASV0366";0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;127;0;0;0;0;0;0;87;0;0;156;0;0;704;0;0;0;0;0;72;0;0;84;0;25;0;214;932;1255
"ASV0371";0;47;81;0;49;56;0;0;57;0;0;50;0;0;0;0;0;24;19;0;0;0;0;115;25;51;92;0;87;0;0;58;0;46;0;50;57;30;35;109;97;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;340;158;409;328;0;8;1243
"ASV0374";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;511;0;400;0;0;277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1233;0;1233
"ASV0382";0;154;0;0;0;11;0;0;0;0;0;0;0;0;0;0;77;0;0;187;0;0;146;0;0;100;0;0;60;0;0;57;0;0;68;0;51;0;84;36;102;0;0;7;0;0;0;42;0;0;0;0;0;0;0;0;0;13;0;0;5;0;0;165;410;285;273;49;18;1200
"ASV0383";0;7;21;0;7;18;0;0;44;0;23;32;791;0;10;56;0;7;34;0;0;49;0;6;33;0;0;26;0;0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;10;0;0;0;0;0;12;1;152;953;66;0;0;28;1199
"ASV0386";398;0;0;0;0;0;66;0;0;68;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;227;0;0;54;0;0;78;0;0;110;589;0;0;72;60;469;1190
"ASV0387";0;53;32;0;16;73;0;0;30;0;15;26;0;14;74;0;32;30;0;27;152;0;0;39;0;0;15;0;18;17;0;24;14;0;23;84;139;13;85;32;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;15;0;245;368;195;352;0;30;1190
"ASV0395";0;140;0;0;0;0;0;0;0;0;0;0;0;48;0;0;94;0;0;153;0;0;130;0;0;85;22;0;59;0;0;55;0;0;23;15;42;0;87;40;79;0;0;25;0;0;0;34;0;0;0;0;0;0;0;0;0;11;9;0;8;0;0;140;425;259;248;59;28;1159
"ASV0397";4;17;0;0;38;0;287;96;40;0;68;0;33;121;4;0;65;0;0;32;0;0;7;8;0;0;0;0;0;0;0;0;4;0;0;0;0;246;0;0;0;11;4;28;0;23;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;550;270;4;246;68;0;1138
"ASV0400";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;937;0;0;0;0;0;140;0;0;0;0;0;0;0;56;1077;1133
"ASV0403";0;3;71;0;0;35;0;0;86;0;0;153;0;0;12;2;1;56;0;6;12;0;8;33;0;17;57;0;0;67;7;0;53;5;22;157;28;7;25;29;38;0;0;7;0;0;6;42;1;0;8;0;0;0;0;26;0;0;7;0;0;33;0;348;130;385;127;64;66;1120
"ASV0405";10;15;0;0;44;0;277;103;11;3;67;0;0;125;0;0;70;0;0;33;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259;0;0;0;11;0;31;0;16;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;530;239;0;259;84;0;1112
"ASV0410";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;613;0;12;36;0;5;2;0;413;3;0;0;0;0;0;3;1086;1089
"ASV0411";0;0;0;0;288;0;61;454;0;0;284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1087;0;0;0;0;0;1087
"ASV0413";135;0;0;0;0;0;0;0;0;36;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;52;0;115;0;0;0;0;0;0;618;0;0;0;0;0;171;40;0;0;252;618;1081
"ASV0417";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272;0;0;149;0;0;458;0;24;155;0;0;0;0;6;0;1058;1064
"ASV0423";0;108;59;0;19;0;0;36;59;0;11;75;68;0;0;0;29;0;0;45;0;0;56;0;10;0;0;20;0;0;0;113;0;0;65;64;0;0;86;0;0;0;0;35;0;42;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367;198;272;86;115;0;1038
"ASV0425";0;27;0;0;0;0;0;0;16;0;0;0;0;0;24;0;0;52;0;0;21;0;102;50;42;0;0;0;33;51;0;0;0;59;0;56;0;40;0;0;0;0;0;0;0;45;0;58;86;0;81;0;0;0;0;0;70;0;0;97;0;0;25;43;249;241;40;270;192;1035
"ASV0427";133;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;115;0;0;0;0;0;0;655;0;0;0;0;0;156;0;0;0;223;655;1034
"ASV0434";0;56;33;0;15;58;0;0;20;0;19;16;0;20;84;0;27;21;0;28;111;0;16;34;0;0;7;0;18;4;0;12;15;0;12;61;130;20;78;28;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;3;0;217;341;129;324;0;11;1022
"ASV0435";0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420;0;0;0;0;0;16;0;0;0;0;0;0;42;0;1;0;0;71;0;0;0;0;0;0;79;0;0;136;0;0;175;0;0;0;0;0;51;0;31;0;436;43;150;362;1022
"ASV0436";134;4;0;10;14;6;20;51;542;4;38;178;11;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1001;20;0;0;0;0;1021
"ASV0440";0;0;15;0;0;46;0;0;11;0;0;0;0;0;251;0;0;92;19;0;371;0;12;120;38;0;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;865;62;0;13;0;1012
"ASV0442";0;0;0;0;103;0;0;0;0;0;130;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;73;0;0;63;0;40;0;53;0;0;0;45;0;160;0;140;0;0;79;0;0;0;0;0;63;0;0;33;0;0;0;0;233;23;136;93;424;96;1005
"ASV0443";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;10;0;0;0;13;0;0;0;0;0;0;0;0;0;0;248;0;0;106;0;0;427;0;0;151;0;0;0;39;10;13;932;994
"ASV0444";132;3;0;13;4;4;12;35;519;10;44;192;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;968;15;0;0;0;0;983
