"From"	"to"	"rValue"	"pValue"	"n"	"colMeans..t.."	"From_type"	"To_type"
"86"	"ASV_1013"	"ASV_734"	0.803439063171098	0.00164397431893605	4300	0.00108179035842612	"Other"	"Other"
"87"	"ASV_1013"	"ASV_746"	0.8628342146804	0.000302357829097362	4301	0.00108179035842612	"Other"	"Other"
"88"	"ASV_1013"	"ASV_768"	0.658854535060624	0.0198012039074207	4302	0.00108179035842612	"Other"	"Shared"
"89"	"ASV_1013"	"ASV_791"	0.839316741749274	0.000639893531983427	4303	0.00108179035842612	"Other"	"Other"
"90"	"ASV_1013"	"ASV_829"	0.895600070934086	8.17798722781158e-05	4304	0.00108179035842612	"Other"	"Other"
"91"	"ASV_1013"	"ASV_880"	0.963855421686747	4.5721712845529e-07	4305	0.00108179035842612	"Other"	"Other"
"92"	"ASV_1013"	"ASV_919"	0.62436977130129	0.029990814510958	4306	0.00108179035842612	"Other"	"Shared"
"93"	"ASV_1013"	"ASV_920"	0.689792506897168	0.0130541957575553	4307	0.00108179035842612	"Other"	"Other"
"94"	"ASV_1013"	"ASV_925"	0.630547667861664	0.0279363192412668	4308	0.00108179035842612	"Other"	"Other"
"95"	"ASV_1013"	"ASV_1070"	0.853765578276966	0.0175734787786925	4309	0.00108179035842612	"Other"	"Other"
"96"	"ASV_1013"	"ASV_1288"	0.987951807228916	1.20527962745326e-07	4310	0.00108179035842612	"Other"	"Other"
"97"	"ASV_1013"	"ASV_1626"	0.895600070934086	0.00399358376291466	4311	0.00108179035842612	"Other"	"Other"
"98"	"ASV_1013"	"ASV_1866"	0.853765578276966	0.0175734787786925	4312	0.00108179035842612	"Other"	"Other"
"99"	"ASV_1013"	"ASV_2010"	0.987951807228916	1.20527962745326e-07	4313	0.00108179035842612	"Other"	"Other"
"100"	"ASV_1013"	"ASV_2540"	0.951807228915663	0.000102747664871696	4314	0.00108179035842612	"Other"	"Other"
"101"	"ASV_1013"	"ASV_2582"	0.821181555829962	0.039548789886301	4315	0.00108179035842612	"Other"	"Shared"
"102"	"ASV_1013"	"ASV_3110"	0.963855421686747	2.52934162560804e-05	4316	0.00108179035842612	"Other"	"Unique"
"103"	"ASV_1013"	"ASV_3398"	0.963855421686747	2.52934162560804e-05	4317	0.00108179035842612	"Other"	"Other"
"104"	"ASV_1013"	"ASV_3632"	0.951807228915663	0.000102747664871696	4318	0.00108179035842612	"Other"	"Other"
"105"	"ASV_1013"	"ASV_3908"	0.951807228915663	0.000102747664871696	4319	0.00108179035842612	"Other"	"Other"
"106"	"ASV_1013"	"ASV_4042"	0.963855421686747	2.52934162560804e-05	4320	0.00108179035842612	"Other"	"Other"
"107"	"ASV_1013"	"ASV_4688"	0.987951807228916	1.20527962745326e-07	4321	0.00108179035842612	"Other"	"Other"
"108"	"ASV_1013"	"ASV_4790"	0.951807228915663	0.000102747664871696	4322	0.00108179035842612	"Other"	"Other"
"109"	"ASV_1040"	"ASV_21"	0.715957986125613	0.00882491661043278	4323	0.000330398782291219	"Other"	"Shared"
"110"	"ASV_1040"	"ASV_29"	0.715957986125613	0.00882491661043278	4324	0.000330398782291219	"Other"	"Shared"
"111"	"ASV_1040"	"ASV_34"	0.715957986125613	0.00882491661043278	4325	0.000330398782291219	"Other"	"Shared"
"112"	"ASV_1040"	"ASV_63"	0.7526737802859	0.00472787750582089	4326	0.000330398782291219	"Other"	"Shared"
"113"	"ASV_1040"	"ASV_71"	0.640179239494526	0.0249387817765995	4327	0.000330398782291219	"Other"	"Shared"
"114"	"ASV_1040"	"ASV_97"	0.734315883205756	0.00653792500360006	4328	0.000330398782291219	"Other"	"Shared"
"115"	"ASV_1040"	"ASV_107"	0.7526737802859	0.00472787750582089	4329	0.000330398782291219	"Other"	"Shared"
"116"	"ASV_1040"	"ASV_124"	0.839653750536851	0.000633589946956759	4330	0.000330398782291219	"Other"	"Other"
"117"	"ASV_1040"	"ASV_254"	0.630547667861664	0.0279363192412668	4331	0.000330398782291219	"Other"	"Other"
"118"	"ASV_1040"	"ASV_304"	0.630547667861664	0.0279363192412668	4332	0.000330398782291219	"Other"	"Other"
