"From"	"to"	"rValue"	"pValue"
"ASV0036"	"ASV0025"	0.778621379268549	0.00796586438060815
"ASV0036"	"ASV0029"	0.773763321319481	0.00863349792261224
"ASV0036"	"ASV0030"	-0.65856936713581	0.0383917033486902
"ASV0036"	"ASV0031"	0.727070707101926	0.0171942138864707
"ASV0036"	"ASV0032"	0.706595101413216	0.022344120530426
"ASV0036"	"ASV0034"	0.747081827480879	0.0130204963044768
"ASV0036"	"ASV0035"	0.753018120846093	0.0119335437813181
"ASV0036"	"ASV0039"	0.901721540705724	0.00682803385656009
"ASV0036"	"ASV0042"	0.859453343485143	0.0259226993103458
"ASV0036"	"ASV0053"	0.974193548387097	3.61730513202982e-05
"ASV0036"	"ASV0145"	0.901721540705724	0.00682803385656009
"ASV0036"	"ASV0278"	0.845363944411616	0.0368592001168435
"ASV0037"	"ASV0001"	0.872786048177568	0.000980007412081175
"ASV0037"	"ASV0003"	0.836534362280895	0.00255180446802495
"ASV0037"	"ASV0006"	0.836534362280895	0.00255180446802495
"ASV0037"	"ASV0008"	0.872786048177568	0.000980007412081175
"ASV0037"	"ASV0013"	0.693869587318262	0.0260305062105737
"ASV0037"	"ASV0016"	0.724137931034483	0.0178752799426812
"ASV0037"	"ASV0025"	0.79193298305261	0.00632450888267224
"ASV0037"	"ASV0029"	0.696551724137931	0.0252212174780983
"ASV0037"	"ASV0031"	0.710344827586207	0.0213306085966259
"ASV0037"	"ASV0034"	0.641379310344828	0.0456371234181449
"ASV0037"	"ASV0035"	0.719727492065746	0.0189343944258149
"ASV0037"	"ASV0036"	0.800444815158084	0.0054107366368011
"ASV0037"	"ASV0039"	0.932297012133414	0.00161171504435744
"ASV0037"	"ASV0042"	0.859461308060491	0.0259220915506734
"ASV0037"	"ASV0145"	0.932297012133414	0.00161171504435744
"ASV0037"	"ASV0278"	0.932297012133414	0.00161171504435744
"ASV0037"	"ASV0398"	-0.862068965517241	0.0242222936143503
"ASV0037"	"ASV0709"	0.851111635158058	0.0321484480331718
"ASV0038"	"ASV0001"	0.82106539347075	0.00359188000143035
"ASV0038"	"ASV0003"	0.784656262294483	0.00718844405333819
"ASV0038"	"ASV0006"	0.784656262294483	0.00718844405333819
"ASV0038"	"ASV0008"	0.82106539347075	0.00359188000143035
"ASV0038"	"ASV0013"	0.90138198726391	0.000366824706507238
"ASV0038"	"ASV0016"	0.875862068965517	0.000892048457961614
"ASV0038"	"ASV0017"	0.648476249830151	0.0425437876596296
"ASV0038"	"ASV0029"	0.986206896551724	1.55746923622763e-07
"ASV0038"	"ASV0030"	-0.726293399809769	0.0173729378798666
"ASV0038"	"ASV0035"	0.975784388281445	1.46111186037136e-06
