"colMeans..t.."	"Node"	"Node_category"
"ASV3583"	0.000199289022945169	"ASV3583"	"Unique"
"ASV3611"	0.000238114787749405	"ASV3611"	"Other"
"ASV3612"	8.21085474997947e-06	"ASV3612"	"Other"
"ASV3648"	1.64217094999589e-05	"ASV3648"	"Other"
"ASV3693"	3.22081937644937e-05	"ASV3693"	"Other"
"ASV3696"	1.64217094999589e-05	"ASV3696"	"Other"
"ASV3699"	8.21085474997947e-06	"ASV3699"	"Shared"
"ASV3722"	0.000279169061499302	"ASV3722"	"Unique"
"ASV3725"	0.000279169061499302	"ASV3725"	"Unique"
"ASV3727"	5.79747487760886e-05	"ASV3727"	"Other"
"ASV3744"	8.96831389986642e-05	"ASV3744"	"Other"
"ASV3746"	8.21085474997947e-06	"ASV3746"	"Other"
"ASV3768"	2.46325642499384e-05	"ASV3768"	"Other"
"ASV3769"	0.000212574078845658	"ASV3769"	"Unique"
"ASV3818"	5.01206585496785e-05	"ASV3818"	"Other"
"ASV3821"	0.000262747351999343	"ASV3821"	"Unique"
"ASV3880"	0.000107723796186578	"ASV3880"	"Other"
"ASV3882"	0.000131373675999672	"ASV3882"	"Other"
"ASV3883"	0.000166971884089195	"ASV3883"	"Unique"
"ASV3884"	0.000120818219017581	"ASV3884"	"Other"
"ASV3936"	0.000213482223499466	"ASV3936"	"Other"
"ASV3947"	0.000246325642499384	"ASV3947"	"Unique"
"ASV3949"	3.28434189999179e-05	"ASV3949"	"Other"
"ASV3950"	0.000191803593120644	"ASV3950"	"Unique"
"ASV3983"	8.21085474997947e-05	"ASV3983"	"Other"
"ASV4005"	9.85302569997537e-05	"ASV4005"	"Other"
"ASV4007"	0.000238114787749405	"ASV4007"	"Unique"
"ASV4008"	0.000238114787749405	"ASV4008"	"Unique"
"ASV4012"	0.000238114787749405	"ASV4012"	"Unique"
"ASV4013"	0.000167809442849806	"ASV4013"	"Unique"
"ASV4067"	2.46325642499384e-05	"ASV4067"	"Other"
"ASV4075"	2.54809529876417e-05	"ASV4075"	"Other"
"ASV4087"	0.000229903932999425	"ASV4087"	"Unique"
"ASV4088"	0.000141716052563772	"ASV4088"	"Other"
"ASV4134"	0.000147010015416893	"ASV4134"	"Other"
"ASV4144"	0.000221693078249446	"ASV4144"	"Unique"
"ASV4202"	0.000213482223499466	"ASV4202"	"Unique"
"ASV4203"	0.000213482223499466	"ASV4203"	"Unique"
"ASV4262"	0.000102109530807455	"ASV4262"	"Other"
"ASV4264"	4.10542737498974e-05	"ASV4264"	"Other"
"ASV4287"	4.92651284998768e-05	"ASV4287"	"Other"
"ASV4344"	7.16851207747948e-05	"ASV4344"	"Other"
"ASV4349"	0.000106741111749733	"ASV4349"	"Other"
"ASV4380"	0.000197060513999507	"ASV4380"	"Unique"
"ASV4428"	6.93741743023864e-05	"ASV4428"	"Other"
"ASV4459"	2.55738124160859e-05	"ASV4459"	"Other"
"ASV4474"	0.000188849659249528	"ASV4474"	"Unique"
"ASV4532"	1.64217094999589e-05	"ASV4532"	"Other"
"ASV4566"	0.000180638804499548	"ASV4566"	"Unique"
"ASV4651"	0.000172427949749569	"ASV4651"	"Unique"
"ASV4652"	0.000122609026488035	"ASV4652"	"Unique"
"ASV4737"	0.000164217094999589	"ASV4737"	"Unique"
"ASV4739"	0.000128832775057975	"ASV4739"	"Unique"
"ASV4849"	8.58637724390234e-05	"ASV4849"	"Other"
"ASV4858"	0.00015600624024961	"ASV4858"	"Unique"
"ASV4859"	0.00015600624024961	"ASV4859"	"Unique"
"ASV4861"	0.000122391136305076	"ASV4861"	"Unique"
"ASV4862"	9.01829425405823e-05	"ASV4862"	"Other"
"ASV4910"	2.26002081808854e-05	"ASV4910"	"Other"
"ASV4980"	0.00014779538549963	"ASV4980"	"Unique"
"ASV4985"	0.00014779538549963	"ASV4985"	"Unique"
"ASV4990"	9.69514165679198e-05	"ASV4990"	"Unique"
"ASV5074"	3.82214294814626e-05	"ASV5074"	"Other"
"ASV5118"	0.000109507858799279	"ASV5118"	"Unique"
"ASV5119"	0.00010912237360826	"ASV5119"	"Unique"
"ASV5244"	6.56868379998358e-05	"ASV5244"	"Other"
"ASV5248"	0.000131373675999672	"ASV5248"	"Unique"
"ASV5251"	0.000131373675999672	"ASV5251"	"Unique"
"ASV5253"	0.00010306622004638	"ASV5253"	"Unique"
"ASV5255"	8.61790369492621e-05	"ASV5255"	"Unique"
"ASV5370"	3.77033286653022e-05	"ASV5370"	"Other"
"ASV5517"	7.38976927498152e-05	"ASV5517"	"Other"
"ASV5547"	8.91833354567461e-05	"ASV5547"	"Unique"
"ASV5549"	8.96831389986642e-05	"ASV5549"	"Unique"
"ASV5552"	0.000114951966499713	"ASV5552"	"Unique"
"ASV5553"	0.000114951966499713	"ASV5553"	"Unique"
"ASV5554"	0.000114951966499713	"ASV5554"	"Unique"
"ASV5556"	0.000114951966499713	"ASV5556"	"Unique"
"ASV5557"	0.000107682359915881	"ASV5557"	"Unique"
"ASV5559"	7.54066573306043e-05	"ASV5559"	"Unique"
"ASV5561"	8.95083434563008e-05	"ASV5561"	"Unique"
"ASV5717"	0.000106741111749733	"ASV5717"	"Unique"
"ASV5725"	4.10542737498974e-05	"ASV5725"	"Other"
"ASV5728"	8.31148903522793e-05	"ASV5728"	"Unique"
