"";"ASV_1";"ASV_3";"ASV_6";"ASV_8";"ASV_13";"ASV_16";"ASV_17";"ASV_21";"ASV_23";"ASV_25";"ASV_29";"ASV_30";"ASV_32";"ASV_34";"ASV_35";"ASV_36";"ASV_37";"ASV_38";"ASV_39";"ASV_41";"ASV_42";"ASV_44";"ASV_45";"ASV_48";"ASV_50";"ASV_51";"ASV_53";"ASV_56";"ASV_63";"ASV_64";"ASV_66";"ASV_71";"ASV_72";"ASV_73";"ASV_77";"ASV_82";"ASV_83";"ASV_85";"ASV_86";"ASV_89";"ASV_97";"ASV_101";"ASV_102";"ASV_104";"ASV_107";"ASV_120";"ASV_121";"ASV_127";"ASV_133";"ASV_136";"ASV_142";"ASV_143";"ASV_145";"ASV_147";"ASV_189";"ASV_206";"ASV_211";"ASV_223";"ASV_261";"ASV_270";"ASV_273";"ASV_277";"ASV_278";"ASV_312";"ASV_332";"ASV_356";"ASV_381";"ASV_395";"ASV_402";"ASV_426";"ASV_442";"ASV_456";"ASV_460";"ASV_464";"ASV_497";"ASV_512";"ASV_564";"ASV_569";"ASV_634";"ASV_647";"ASV_675";"ASV_680";"ASV_711";"ASV_723";"ASV_768";"ASV_811";"ASV_833";"ASV_837";"ASV_866";"ASV_884";"ASV_906";"ASV_919";"ASV_1080";"ASV_1113";"ASV_1188";"ASV_1189";"ASV_1269";"ASV_1286";"ASV_1333";"ASV_1401";"ASV_1402";"ASV_1461";"ASV_1504";"ASV_1589";"ASV_1795";"ASV_1965";"ASV_2582";"ASV_3699"
"H3A17";7350;5399;5037;3431;224;161;181;319;220;0;260;0;242;255;158;338;42;129;87;203;0;168;0;48;273;146;236;109;111;0;2;162;107;0;0;124;85;0;0;1;105;19;0;126;109;0;36;67;11;13;100;0;11;119;0;0;9;6;4;0;0;0;4;0;0;78;0;0;7;0;0;0;0;0;70;0;0;0;0;42;0;0;0;0;10;0;0;16;4;0;0;0;4;1;2;7;0;0;4;0;0;3;1;5;12;0;0;0
"H3F18";12927;10218;9243;6319;876;834;669;1298;1084;107;1049;0;240;881;861;508;69;904;0;202;0;193;0;59;406;39;356;35;101;75;0;0;69;50;107;0;30;27;231;0;82;10;51;163;54;27;78;73;12;171;109;0;7;107;54;58;22;0;24;0;87;9;19;0;0;0;57;55;0;0;73;0;0;0;0;64;0;0;0;66;0;57;0;19;0;0;0;44;6;0;0;0;6;6;24;0;0;0;0;45;7;0;0;4;0;0;0;0
"H3A18";7966;6012;5506;3487;633;435;480;82;353;0;75;0;328;57;255;350;82;226;26;238;0;265;17;154;262;0;229;186;90;127;101;91;188;109;63;35;160;84;21;0;64;136;68;107;70;53;0;0;117;0;71;82;77;85;107;47;53;77;73;36;40;20;46;0;0;0;0;0;53;0;0;0;0;0;0;48;11;0;14;59;0;0;15;0;4;0;0;0;0;0;0;0;0;0;18;5;0;0;1;0;24;6;2;0;0;13;0;2
"H4A17";6473;5023;4519;2976;182;136;95;378;250;115;300;0;221;297;213;286;0;204;0;166;0;200;0;0;209;170;214;252;144;0;16;161;195;0;48;167;147;0;0;6;128;30;68;159;107;0;83;48;27;0;130;0;17;117;0;0;12;20;13;30;24;0;11;0;0;50;0;0;5;59;0;0;0;0;0;0;0;0;0;0;13;0;0;30;4;0;0;0;7;0;0;0;6;5;4;2;0;0;6;0;0;3;2;6;0;0;0;0
"H4F18";12136;8774;8452;5284;776;552;553;1178;965;0;949;0;189;860;674;549;48;601;137;148;0;127;0;54;400;42;377;40;51;51;12;0;30;28;97;0;32;36;214;0;44;13;29;124;38;25;123;70;10;122;78;0;6;77;66;0;33;8;17;0;89;39;20;0;0;0;68;23;22;0;63;0;0;0;0;101;0;0;0;44;0;0;0;0;0;0;0;82;15;0;0;0;8;6;40;0;0;0;0;0;7;15;0;5;5;0;0;0
"H4A18";7925;6086;5455;3377;1465;1019;975;152;589;161;119;0;377;87;447;364;107;457;106;306;0;229;0;863;279;161;234;530;221;633;0;98;409;536;59;116;397;359;0;36;140;477;274;200;159;325;0;0;361;0;173;0;343;123;57;0;304;224;263;37;119;97;296;0;58;64;0;15;157;56;0;0;0;0;0;76;80;0;61;28;25;0;60;43;8;0;2;0;2;21;44;0;5;8;14;6;0;7;2;0;0;0;3;3;0;0;0;0
"P1F18";5296;4087;3749;2377;1034;799;709;607;513;788;520;0;191;443;422;273;682;357;612;121;0;115;0;437;166;0;182;314;112;330;80;0;307;262;110;72;268;184;629;74;88;48;159;99;96;137;0;0;34;498;80;0;45;76;0;76;53;35;38;13;70;144;41;0;0;36;51;42;28;0;40;0;0;48;0;0;23;0;15;0;0;0;22;27;17;0;0;0;21;0;0;0;15;23;0;5;0;0;7;0;5;0;4;8;6;0;0;0
"P1A18";493;391;361;235;54;42;47;19;69;522;13;2;74;9;39;14;388;27;343;54;0;52;3;78;24;85;17;14;56;60;41;51;7;55;147;42;13;21;0;28;42;13;12;24;35;16;107;104;20;45;17;1462;14;7;46;0;8;7;6;45;23;17;6;360;0;0;0;0;7;40;0;67;68;0;46;0;9;35;7;0;66;5;2;0;0;11;52;0;0;13;0;0;0;0;0;0;22;5;0;8;0;0;0;0;19;1;1;1
"P2F18";4718;3708;3312;2084;1017;807;709;676;482;739;451;0;348;500;369;233;588;337;542;257;219;238;0;250;192;78;172;273;126;187;0;0;249;204;93;0;221;128;550;0;93;47;108;232;76;95;63;64;44;393;202;0;40;169;108;134;82;20;61;0;94;103;36;0;0;0;84;87;25;0;53;0;0;57;0;58;30;0;15;27;0;0;23;0;0;0;0;26;28;0;0;0;20;15;0;0;0;11;0;17;10;0;0;17;6;0;0;0
"P3F18";3878;2988;2691;1605;696;514;493;531;387;245;415;0;429;407;284;215;242;241;195;329;3321;318;0;115;116;0;131;211;113;80;0;41;206;70;49;0;188;72;980;0;89;47;49;203;88;45;98;47;28;645;154;0;20;138;0;49;40;7;42;0;102;53;31;0;25;67;36;40;29;0;0;0;0;65;0;64;12;0;10;0;0;16;9;0;0;0;0;0;18;0;6;53;23;20;6;0;0;0;0;7;0;9;0;8;5;0;0;0
