"";"Coscinodiscophyceae";"Pelagophyceae";"Phaeophyceae";"Mediophyceae";"Sagenista";"Peronosporomycetes";"Opalozoa";"Chrysophyceae";"Gyrista_X";"Bolidophyceae";"Bacillariophyceae";"Dictyochophyceae";"Bicoecea";"Stramenopiles_NA";"Pirsoniales";"MOCH-3";"MOCH-5";"Stramenopiles_XX";"MOCH-2";"MOCH-1";"Xanthophyceae";"Stramenopiles_X-Group-2";"MOCH-4";"Developea"
"Q4F18";714;77;14;69;928;0;746;0;25;17;129;0;0;0;0;0;0;0;0;7;0;0;0;0
"Q4A18";0;2727;0;460;272;0;97;779;309;81;72;372;0;26;0;79;0;0;45;0;0;0;0;0
"L1A17";15;85;742;135;187;39;37;487;10;0;0;168;546;34;0;41;0;0;0;0;0;0;0;0
"L1F18";66;84;6347;790;364;270;74;12;18;0;132;21;0;20;0;0;39;0;0;0;0;0;0;0
"L1A18";0;124;0;1333;149;0;162;143;0;0;0;95;0;0;0;0;0;7;0;0;145;0;0;0
"L2A17";0;52;3393;366;113;12;67;2937;27;0;7;1118;388;23;0;17;0;0;0;0;0;0;0;0
"L2F18";293;324;388;407;2005;147;421;91;85;0;301;134;68;114;0;52;91;0;0;0;0;0;0;0
"L2A18";0;343;0;933;259;0;302;142;116;107;107;41;0;0;0;0;0;0;0;35;0;0;0;0
"L3A17";17;56;1464;151;81;0;104;2390;57;0;0;274;154;0;0;29;0;0;0;0;0;0;0;0
"L3F18";74;143;219;77;1145;69;260;61;16;0;71;10;0;52;0;38;79;0;0;0;0;0;0;0
"L3A18";26;538;0;2507;282;0;0;614;0;106;316;253;0;0;0;0;0;0;20;0;0;0;0;15
"L4A17";0;35;4335;97;67;21;65;255;50;0;14;33;465;0;0;0;0;0;0;0;0;0;0;0
"L4F18";227;531;615;136;1385;49;338;188;141;25;133;82;21;57;0;37;0;0;0;0;0;0;0;0
"L4A18";51;276;12;1225;146;43;170;48;77;46;122;116;0;15;18;12;0;0;0;0;0;0;0;0
