;ASV;Type
510;ASV4249;Unique
511;ASV4314;Unique
512;ASV4318;Unique
513;ASV4320;Unique
514;ASV4327;Unique
515;ASV4422;Unique
516;ASV4424;Unique
517;ASV4501;Unique
518;ASV4506;Unique
519;ASV4509;Unique
520;ASV4596;Unique
521;ASV4599;Unique
522;ASV4679;Unique
523;ASV4682;Unique
524;ASV4683;Unique
525;ASV4685;Unique
526;ASV4766;Unique
527;ASV4767;Unique
528;ASV4769;Unique
529;ASV4773;Unique
530;ASV4780;Unique
531;ASV4786;Unique
532;ASV4787;Unique
533;ASV4896;Unique
534;ASV4899;Unique
535;ASV4902;Unique
536;ASV4903;Unique
537;ASV4907;Unique
538;ASV5019;Unique
539;ASV5036;Unique
540;ASV5150;Unique
541;ASV5157;Unique
542;ASV5164;Unique
543;ASV5308;Unique
544;ASV5309;Unique
545;ASV5310;Unique
546;ASV5433;Unique
547;ASV5434;Unique
548;ASV5437;Unique
549;ASV5438;Unique
550;ASV5447;Unique
551;ASV5454;Unique
552;ASV5455;Unique
553;ASV5589;Unique
554;ASV5599;Unique
555;ASV5600;Unique
556;ASV5601;Unique
557;ASV5616;Unique
558;ASV5760;Unique
559;ASV5761;Unique
560;ASV5771;Unique
561;ASV5927;Unique
562;ASV5947;Unique
563;ASV5948;Unique
564;ASV5949;Unique
565;ASV5963;Unique
566;ASV5964;Unique
567;ASV6149;Unique
568;ASV6152;Unique
569;ASV6158;Unique
570;ASV6179;Unique
571;ASV0001;Shared
572;ASV0003;Shared
573;ASV0006;Shared
574;ASV0008;Shared
575;ASV0013;Shared
576;ASV0016;Shared
577;ASV0017;Shared
578;ASV0021;Shared
579;ASV0023;Shared
580;ASV0025;Shared
581;ASV0029;Shared
582;ASV0030;Shared
583;ASV0032;Shared
584;ASV0034;Shared
585;ASV0035;Shared
586;ASV0036;Shared
587;ASV0037;Shared
588;ASV0038;Shared
589;ASV0039;Shared
590;ASV0040;Shared
591;ASV0042;Shared
592;ASV0043;Shared
593;ASV0045;Shared
594;ASV0048;Shared
595;ASV0050;Shared
596;ASV0052;Shared
597;ASV0053;Shared
598;ASV0056;Shared
599;ASV0063;Shared
600;ASV0064;Shared
601;ASV0071;Shared
602;ASV0072;Shared
603;ASV0073;Shared
604;ASV0077;Shared
605;ASV0081;Shared
606;ASV0083;Shared
607;ASV0085;Shared
608;ASV0086;Shared
609;ASV0097;Shared
610;ASV0101;Shared
611;ASV0102;Shared
612;ASV0104;Shared
613;ASV0107;Shared
614;ASV0118;Shared
615;ASV0120;Shared
616;ASV0127;Shared
617;ASV0134;Shared
618;ASV0135;Shared
619;ASV0142;Shared
620;ASV0143;Shared
621;ASV0145;Shared
622;ASV0147;Shared
623;ASV0190;Shared
624;ASV0206;Shared
625;ASV0210;Shared
626;ASV0223;Shared
627;ASV0238;Shared
628;ASV0261;Shared
629;ASV0270;Shared
630;ASV0273;Shared
631;ASV0277;Shared
632;ASV0279;Shared
633;ASV0315;Shared
634;ASV0325;Shared
635;ASV0349;Shared
636;ASV0382;Shared
637;ASV0395;Shared
638;ASV0403;Shared
639;ASV0425;Shared
640;ASV0442;Shared
641;ASV0452;Shared
642;ASV0456;Shared
643;ASV0462;Shared
644;ASV0501;Shared
645;ASV0510;Shared
646;ASV0561;Shared
647;ASV0569;Shared
648;ASV0631;Shared
649;ASV0652;Shared
650;ASV0676;Shared
651;ASV0688;Shared
