"";"Type";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18"
"ASV0069";"Other";754;78;15;80;307;9;235;2111;336;139;1524;72;24;46;0;5;0;5;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
"ASV0071";"Shared";1911;111;51;0;72;61;0;193;114;0;196;119;233;75;42;178;0;0;58;90;21;27;98;67;662;0;44;407;57;70;162;0;91;161;0;98;0;51;0;41;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;78;21;0;0
"ASV0072";"Shared";0;39;564;0;28;336;0;0;474;0;25;726;0;0;57;58;0;162;35;50;20;0;95;98;60;38;209;44;48;235;107;69;184;195;30;409;307;7;249;206;218;0;0;0;0;0;33;63;0;34;3;0;0;0;0;21;0;0;0;0;0;84;0
"ASV0073";"Shared";0;159;272;0;43;523;0;0;124;0;31;116;0;24;768;0;82;268;0;28;946;0;48;232;0;0;121;0;30;70;0;50;109;0;28;536;262;55;204;70;172;0;0;0;12;0;67;0;0;0;0;0;0;37;0;22;0;0;0;85;0;15;0
"ASV0075";"Other";0;0;0;0;18;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;150;1971;0;0;0;0;63;0;63;0;0;0;61;0;0;1606;0;770;36;0;0;664;0;42;0
"ASV0077";"Shared";0;889;0;0;334;89;113;181;34;68;197;0;57;109;173;291;193;37;180;156;364;198;117;101;62;129;0;0;148;0;0;107;63;48;97;59;110;147;93;49;81;0;0;0;0;0;0;80;0;16;142;0;0;0;0;90;0;0;38;0;0;45;32
"ASV0079";"Other";43;90;0;0;267;0;863;2414;0;25;1300;0;0;54;0;0;4;0;0;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;54;78;27;43;16;69;0;0;95;0;0;0;0;0;32;0;0;0;0;0;0;0
"ASV0081";"Shared";1868;105;53;0;75;28;0;208;122;0;186;101;190;0;0;185;0;0;56;37;0;86;47;0;603;0;73;419;0;43;124;0;35;167;0;116;72;42;0;0;34;0;0;0;0;0;0;36;0;16;87;0;0;0;44;0;0;24;0;76;0;0;0
"ASV0083";"Shared";0;36;538;0;24;300;0;0;407;0;0;756;0;0;48;83;0;149;24;65;8;24;79;86;47;36;213;65;72;206;85;30;159;147;32;397;268;13;221;188;194;20;0;0;24;0;25;50;0;0;4;0;0;0;0;30;0;0;19;0;0;85;0
"ASV0085";"Shared";0;78;459;0;14;1187;0;0;165;0;22;260;0;16;388;27;41;123;0;12;545;0;0;110;52;30;59;0;28;48;0;27;85;0;36;359;184;22;128;72;142;0;0;0;47;0;73;0;0;85;31;0;0;34;0;42;0;0;28;0;0;0;0
"ASV0086";"Shared";0;154;0;0;64;0;0;81;0;0;36;0;0;0;0;46;38;42;0;49;0;0;0;93;0;0;0;0;0;0;0;231;21;0;214;0;628;0;550;980;839;0;0;123;0;62;36;0;49;0;0;0;0;138;119;0;124;127;12;68;0;0;39
"ASV0093";"Other";125;86;0;60;225;27;43;1970;208;48;1269;110;87;79;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;47;0;0;0;0;0;108;0;0;21;0;0;125;0;0;0;0;0;44;0;0;52;0
"ASV0096";"Other";0;117;0;0;1370;0;0;379;0;0;489;0;0;960;0;0;810;0;0;70;0;0;111;0;0;0;0;0;100;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
